,City,Temperature °F,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Country,Date
46,Pontianak,91.8,51,56,1.86,-0.03,109.33,ID,1601354373
47,East London,55.4,62,21,11.41,-33.02,27.91,ZA,1601354071
48,Boyle,55.99,100,90,3.51,37.63,-84.87,US,1601354383
49,Dikson,39.67,92,100,24.11,73.51,80.55,RU,1601353985
50,Dom Pedrito,47.53,85,0,3.29,-30.98,-54.67,BR,1601354383
51,Cape Town,54.0,93,40,3.36,-33.93,18.42,ZA,1601354028
52,Hilo,80.6,69,20,6.93,19.73,-155.09,US,1601353775
53,Husavik,35.6,69,90,8.05,66.04,-17.34,IS,1601353904
54,Puerto Ayora,68.0,85,97,5.01,-0.74,-90.35,EC,1601354086
55,Kościerzyna,51.8,87,77,2.24,54.12,17.98,PL,1601354384
56,Leh,48.67,39,0,5.23,34.17,77.58,IN,1601354201
57,Gladstone,75.2,53,90,18.34,-23.85,151.25,AU,1601354385
58,Saint-Augustin,59.56,93,77,9.78,51.23,-58.65,CA,1601353925
59,Mogwase,58.14,43,0,4.45,-25.18,27.27,ZA,1601354385
60,Kovernino,50.29,61,100,7.67,57.13,43.81,RU,1601354386
61,Provideniya,41.0,84,75,2.24,64.38,-173.3,RU,1601354071
62,Igarka,35.65,82,60,10.49,67.47,86.58,RU,1601354145
63,Christchurch,46.99,28,69,27.51,-43.53,172.63,NZ,1601354259
64,Yellowknife,48.0,81,40,8.05,62.46,-114.35,CA,1601353924
65,Khatanga,32.86,89,100,13.33,71.97,102.5,RU,1601353896
66,Ibicuí,70.0,87,80,3.04,-14.84,-39.99,BR,1601354387
67,Florence,50.0,100,84,2.24,43.77,11.25,IT,1601354387
68,Mpongwe,69.62,34,29,8.9,-13.51,28.16,ZM,1601354388
69,Ushuaia,30.2,80,14,2.24,-54.8,-68.3,AR,1601354060
70,Mezen',46.83,89,26,6.49,65.85,44.24,RU,1601354388
71,Port Hardy,55.4,93,20,2.71,50.7,-127.42,CA,1601354098
72,Nome,42.8,70,90,3.36,64.5,-165.41,US,1601353927
73,Rome,70.0,73,1,6.93,43.21,-75.46,US,1601354389
74,Bluff,39.0,78,99,21.0,-46.6,168.33,NZ,1601354050
75,Luang Prabang,87.8,66,40,2.24,19.89,102.13,LA,1601354124
76,Avarua,75.2,73,19,14.99,-21.21,-159.78,CK,1601354122
77,Ulaangom,51.48,45,28,3.74,49.98,92.07,MN,1601354390
78,New Norfolk,66.99,47,39,1.01,-42.78,147.06,AU,1601353893
79,Kruisfontein,53.01,70,8,1.01,-34.0,24.73,ZA,1601354078
80,Ilebo,70.41,94,100,1.28,-4.32,20.58,CD,1601354064
81,Hanover,46.99,93,20,3.36,52.37,9.73,DE,1601354250
82,Los Llanos de Aridane,71.6,83,75,17.22,28.66,-17.92,ES,1601354391
83,Iqaluit,21.0,85,20,5.82,63.75,-68.51,CA,1601353812
84,Gemeente Stadskanaal,53.01,91,99,4.0,52.98,6.95,NL,1601354392
85,Havre-St-Pierre,57.2,93,90,6.93,50.23,-63.6,CA,1601354039
86,Trāl,69.53,29,0,3.51,33.93,75.1,IN,1601354393
87,Barrow,32.0,96,90,8.05,71.29,-156.79,US,1601353901
88,Klaksvík,42.8,100,0,2.24,62.23,-6.59,FO,1601353924
89,Torres,57.51,79,0,2.98,-29.34,-49.73,BR,1601354393
90,Atasū,50.23,59,79,2.53,48.68,71.64,KZ,1601354394
91,Mallaig,48.11,65,28,8.68,54.22,-111.37,CA,1601354394
92,Goianésia,77.13,27,26,2.46,-15.32,-49.12,BR,1601354394
93,Cherskiy,46.98,55,72,17.65,68.75,161.3,RU,1601354206
94,Castro,60.91,98,2,5.14,-24.79,-50.01,BR,1601354077
95,Lata,64.0,100,75,3.36,40.16,-8.33,PT,1601353928
96,Nikolskoye,51.01,93,90,4.47,59.7,30.79,RU,1601354051
97,Busselton,64.99,84,99,1.99,-33.65,115.33,AU,1601353880
98,Faanui,77.65,81,4,20.83,-16.48,-151.75,PF,1601354053
99,São Filipe,79.92,80,11,12.28,14.9,-24.5,CV,1601353949
100,Ponta do Sol,68.0,82,75,11.41,32.67,-17.1,PT,1601354050
101,Broken Hill,71.6,27,40,12.75,-31.95,141.43,AU,1601354396
102,Praia,80.6,83,20,14.99,14.92,-23.51,CV,1601354209
103,Port Elizabeth,55.4,66,20,18.34,-33.92,25.57,ZA,1601354069
104,Atar,83.89,29,0,5.77,20.52,-13.05,MR,1601354397
105,Buala,81.09,79,100,4.29,-8.14,159.59,SB,1601354233
106,Muros,54.0,83,92,1.01,42.78,-9.06,ES,1601354116
107,Fortuna,66.2,63,90,8.05,40.6,-124.16,US,1601353875
108,Arraial do Cabo,73.36,90,100,10.87,-22.97,-42.03,BR,1601354078
109,Padang,85.84,64,93,5.19,-0.95,100.35,ID,1601354142
110,Popondetta,80.92,76,96,4.65,-8.75,148.25,PG,1601354399
111,San Quintín,72.43,70,0,9.04,30.48,-115.95,MX,1601353893
112,Lüderitz,54.91,47,0,15.75,-26.65,15.16,NA,1601353895
113,The Valley,84.2,74,20,12.75,18.22,-63.06,AI,1601353884
114,Seligenstadt,53.01,90,55,3.47,50.04,8.97,DE,1601354400
115,Barahan,85.57,69,100,6.58,13.01,120.76,PH,1601354400
116,Kahului,82.4,65,40,14.99,20.89,-156.47,US,1601353911
117,Manokwari,83.59,68,95,4.54,-0.87,134.08,ID,1601353889
118,Norman Wells,41.0,93,90,10.29,65.28,-126.83,CA,1601354128
119,Bahir Dar,64.63,79,1,3.69,11.59,37.39,ET,1601354401
120,Inhambane,71.6,100,20,2.75,-23.86,35.38,MZ,1601354252
121,Walvis Bay,50.0,87,0,6.93,-22.96,14.51,NA,1601354402
122,Pevek,39.97,71,99,10.09,69.7,170.31,RU,1601353914
123,Bianzhuang,78.08,45,26,5.99,34.85,118.04,CN,1601354403
124,Saiki,75.2,60,20,5.82,32.95,131.9,JP,1601354404
125,Jalu,82.06,23,0,6.35,29.03,21.55,LY,1601353997
126,Bonavista,60.21,90,82,19.08,48.65,-53.11,CA,1601354056
127,Baie-Comeau,57.2,100,90,4.7,49.22,-68.15,CA,1601354404
128,Mar del Plata,51.01,100,26,6.93,-38.0,-57.56,AR,1601353839
129,Tasiilaq,30.2,92,71,3.36,65.61,-37.64,GL,1601354057
130,Santa Isabel,68.0,77,97,3.36,-23.32,-46.22,BR,1601354405
131,Eston,55.4,58,20,8.05,51.15,-108.75,CA,1601354019
132,Ayagoz,44.82,57,0,4.76,47.97,80.44,KZ,1601354406
133,Tuktoyaktuk,35.6,93,90,11.41,69.45,-133.04,CA,1601354056
134,Vila Franca do Campo,68.0,82,20,10.29,37.72,-25.43,PT,1601354150
135,Sontra,39.99,94,0,1.01,51.07,9.93,DE,1601354406
136,Rochegda,45.97,86,10,5.53,62.8,43.25,RU,1601354407
137,Tulagi,80.6,88,75,4.7,-9.1,160.15,SB,1601354407
138,Gizo Government Station,77.18,83,100,3.87,-8.1,156.84,SB,1601354256
139,Bethel,66.2,93,1,6.93,41.37,-73.41,US,1601354048
140,Upernavik,23.32,87,46,7.58,72.79,-56.15,GL,1601354110
141,Anjozorobe,59.0,87,40,3.36,-18.4,47.87,MG,1601354408
142,Zhanakorgan,60.87,30,0,16.33,43.91,67.25,KZ,1601354409
143,Cabo San Lucas,84.0,78,0,6.91,22.89,-109.91,MX,1601354114
144,Garoowe,77.68,66,48,12.15,8.41,48.48,SO,1601354410
145,St. Pete Beach,79.0,94,1,4.7,27.73,-82.74,US,1601354410
146,Hasaki,72.0,60,75,14.99,35.73,140.83,JP,1601354074
147,São João da Barra,73.33,91,54,3.85,-21.64,-41.05,BR,1601354112
148,Lagoa,66.07,80,94,15.82,39.05,-27.98,PT,1601354101
149,Chitungwiza,70.83,53,49,8.39,-18.01,31.08,ZW,1601354411
150,Portland,75.0,59,1,3.36,45.52,-122.68,US,1601354024
151,Vila Velha,77.0,83,0,11.41,-20.33,-40.29,BR,1601354129
152,Kodār,85.91,74,95,10.07,16.98,79.97,IN,1601354412
153,Vaini,78.8,83,20,8.05,-21.2,-175.2,TO,1601353870
154,Beloha,75.87,64,33,5.44,-25.17,45.05,MG,1601353965
155,Tizimín,75.61,94,36,5.08,21.15,-88.15,MX,1601354413
156,Cacequi,51.6,81,0,4.9,-29.88,-54.83,BR,1601354413
157,Cullman,60.01,93,1,8.21,34.17,-86.84,US,1601354135
158,Homer,50.0,76,75,6.93,59.64,-151.55,US,1601354006
159,Ishigaki,84.2,62,20,9.17,24.34,124.16,JP,1601354287
160,Fort Nelson,41.0,75,75,4.7,58.81,-122.7,CA,1601354165
161,Vestmannaeyjar,45.75,78,74,15.5,63.44,-20.27,IS,1601354414
162,Rørvik,54.05,84,76,14.5,64.86,11.24,NO,1601354415
163,Esperance,71.6,46,12,17.22,-33.87,121.9,AU,1601353908
164,Mweka,68.47,98,100,1.48,-4.85,21.57,CD,1601354415
165,Ilulissat,26.6,53,87,13.87,69.22,-51.1,GL,1601354244
166,Mitha Tiwana,91.65,19,0,8.16,32.25,72.11,PK,1601354416
167,Itarema,79.0,79,36,16.96,-2.92,-39.92,BR,1601354097
168,Nogliki,56.44,74,98,13.94,51.83,143.17,RU,1601354416
169,Shenjiamen,72.68,62,28,9.91,29.96,122.3,CN,1601354417
170,Sinjai,87.31,56,99,8.48,-5.12,120.25,ID,1601354417
171,Kuril'sk,62.28,69,0,7.63,45.23,147.88,RU,1601354156
172,Batagay-Alyta,37.02,74,100,3.76,67.8,130.41,RU,1601354418
173,Kumul,69.98,22,88,8.46,42.8,93.45,CN,1601354089
174,Fallon,60.01,30,1,5.82,39.47,-118.78,US,1601354418
175,Chui,48.02,87,0,5.21,-33.7,-53.46,UY,1601354081
176,Aras,51.01,93,100,3.36,42.56,-2.36,ES,1601354419
177,Coquimbo,55.4,82,41,4.7,-29.95,-71.34,CL,1601354195
178,El Alto,61.95,84,80,15.05,-4.27,-81.21,PE,1601354419
179,Hithadhoo,83.95,68,53,8.63,-0.6,73.08,MV,1601353891
180,Sørland,50.0,87,28,1.12,67.67,12.69,NO,1601354420
181,Butaritari,82.29,73,67,10.92,3.07,172.79,KI,1601353876
182,Hwange,77.74,40,85,2.3,-18.37,26.5,ZW,1601354420
183,Souillac,75.2,78,75,9.17,-20.52,57.52,MU,1601353957
184,Yerbogachën,38.34,69,93,7.9,61.28,108.01,RU,1601353973
185,Turukhansk,36.03,79,3,10.76,65.82,87.98,RU,1601354089
186,Bathsheba,75.2,88,75,4.7,13.22,-59.52,BB,1601354059
187,Banjar,86.0,74,75,14.99,-8.19,114.97,ID,1601354422
188,Inírida,73.62,92,78,1.21,3.87,-67.92,CO,1601354065
189,Petropavlovsk-Kamchatskiy,51.8,62,75,11.18,53.05,158.65,RU,1601353930
190,Saint-Philippe,75.2,69,37,4.7,-21.36,55.77,RE,1601354068
191,Omboué,73.26,82,97,4.34,-1.57,9.26,GA,1601354423
192,Nouadhibou,72.18,82,0,20.11,20.93,-17.03,MR,1601354423
193,Sandwick,51.8,87,0,11.41,60.0,-1.25,GB,1601354005
194,Kavieng,84.02,69,35,6.78,-2.57,150.8,PG,1601354057
195,Kavaratti,84.2,74,40,6.93,10.57,72.64,IN,1601354195
196,Mareeba,84.0,54,52,8.99,-17.0,145.43,AU,1601354134
197,Karratha,88.74,18,37,11.45,-20.74,116.85,AU,1601353977
198,Lavrentiya,33.78,86,43,0.81,65.58,-171.0,RU,1601354082
199,Bima,93.04,41,24,6.2,-8.47,118.72,ID,1601354425
200,Kapit,86.45,58,100,0.6,2.02,112.93,MY,1601354267
201,Palmer,66.2,88,75,5.82,42.16,-72.33,US,1601354425
202,Qaanaaq,12.69,78,64,8.34,77.48,-69.36,GL,1601353887
203,Bayanday,51.98,50,25,1.1,53.07,105.51,RU,1601354426
204,Yatou,73.08,55,100,5.19,37.15,122.38,CN,1601354017
205,Kulhudhuffushi,82.35,74,90,8.25,6.62,73.07,MV,1601354179
206,Fergus Falls,46.99,87,40,4.7,46.28,-96.08,US,1601354427
207,Qandala,86.88,55,0,5.32,11.47,49.87,SO,1601354427
208,Iaçu,72.36,80,39,5.48,-12.77,-40.21,BR,1601354427
209,Batemans Bay,66.0,49,48,1.01,-35.72,150.18,AU,1601354428
210,Olafsvik,36.59,93,94,17.49,64.89,-23.71,IS,1601353873
211,Nabire,86.81,60,37,6.11,-3.37,135.48,ID,1601354428
212,Camacha,69.8,68,20,13.87,33.08,-16.33,PT,1601354429
213,Pingliang,68.38,45,1,4.94,35.54,106.69,CN,1601354429
214,San Miguel de Cozumel,82.99,83,1,4.0,20.51,-86.95,MX,1601353597
215,College,46.4,70,75,3.36,64.86,-147.8,US,1601354252
216,Saint-Joseph,75.2,69,21,4.7,-21.37,55.62,RE,1601354430
217,Yulara,87.8,33,32,12.75,-25.24,130.99,AU,1601354115
218,Airai,79.7,43,2,5.01,-8.93,125.41,TL,1601353930
219,Massena,72.0,73,20,6.93,44.93,-74.89,US,1601354430
220,Cidreira,57.67,83,0,6.76,-30.18,-50.21,BR,1601354173
221,Dongsheng,58.12,50,2,10.96,39.82,109.98,CN,1601354431
222,Mahébourg,75.2,78,75,9.17,-20.41,57.7,MU,1601353905
223,Escanaba,48.99,93,40,8.05,45.75,-87.06,US,1601354263
224,Virginia Beach,73.4,78,90,6.93,36.85,-75.98,US,1601353798
225,Ribeira Grande,66.7,81,95,18.9,38.52,-28.7,PT,1601354111
226,Mogadishu,79.52,78,15,12.1,2.04,45.34,SO,1601353831
227,Wewak,83.25,71,89,6.67,-3.55,143.63,PG,1601354432
228,Terra Santa,76.53,71,5,3.8,-2.1,-56.49,BR,1601354433
229,Port-Gentil,76.84,73,96,8.59,-0.72,8.78,GA,1601354346
230,Kyzyl-Mazhalyk,51.15,44,70,1.1,51.13,90.6,RU,1601354433
231,Nemuro,68.0,64,20,9.17,43.32,145.57,JP,1601354086
232,Katsuura,72.0,64,75,17.22,35.13,140.3,JP,1601354095
233,Valparaíso,50.0,100,75,3.36,-33.04,-71.63,CL,1601354049
234,Allāpalli,85.46,74,0,4.07,19.42,80.07,IN,1601354434
235,Sorong,83.62,70,47,7.02,-0.88,131.25,ID,1601353960
236,Bhasāwar,93.29,22,0,3.31,27.03,77.03,IN,1601354435
237,Salinas,60.8,87,90,9.17,36.68,-121.66,US,1601353954
238,Thompson,42.8,100,90,5.82,55.74,-97.86,CA,1601353881
239,Meulaboh,86.14,63,94,3.94,4.14,96.13,ID,1601354435
240,Bubaque,80.91,74,94,4.05,11.28,-15.83,GW,1601353878
241,Basco,82.33,81,38,11.18,20.45,121.97,PH,1601354013
242,Mount Isa,95.0,11,59,11.41,-20.73,139.5,AU,1601354117
243,Caluquembe,54.16,76,72,2.73,-13.78,14.68,AO,1601354436
244,Shintomi,78.8,54,40,13.87,32.08,131.47,JP,1601354437
245,Pisco,61.0,82,20,3.36,-13.7,-76.22,PE,1601353928
246,Jamestown,61.0,87,90,14.99,42.1,-79.24,US,1601353595
247,Tiksi,36.59,76,15,17.05,71.69,128.87,RU,1601354437
248,Hong Kong,84.99,86,94,12.1,22.29,114.16,HK,1601353881
249,San Sebastián Etla,62.56,81,100,1.48,17.06,-96.79,MX,1601354438
250,Codrington,64.04,70,100,14.63,-38.27,141.97,AU,1601354009
251,Purranque,48.2,81,100,8.05,-40.92,-73.17,CL,1601354439
252,Tilichiki,43.61,84,100,12.71,60.47,166.1,RU,1601354439
253,Paramonga,60.39,85,87,7.83,-10.67,-77.83,PE,1601354439
254,Tezu,90.97,48,20,2.93,27.92,96.17,IN,1601353947
255,Genhe,52.72,43,13,4.83,50.78,121.52,CN,1601354440
256,Aykhal,26.6,92,90,13.42,66.0,111.5,RU,1601354440
257,Ola,47.05,71,100,2.26,59.58,151.28,RU,1601354274
258,Buncrana,43.34,92,60,5.41,55.13,-7.45,IE,1601354441
259,Kerema,81.21,73,94,8.55,-7.96,145.78,PG,1601354441
260,Saint Anthony,51.8,76,90,10.29,45.02,-93.22,US,1601354253
261,Mossamedes,61.97,88,100,3.4,-15.2,12.15,AO,1601353898
262,Yinchuan,66.06,49,4,5.48,38.47,106.27,CN,1601354442
263,Erzin,73.99,91,0,1.9,36.96,36.2,TR,1601354140
264,Ambon City,87.8,74,20,5.82,-3.7,128.18,ID,1601354218
265,Lumut,87.8,74,20,3.36,4.23,100.63,MY,1601354443
266,Murray,54.0,37,1,4.7,40.67,-111.89,US,1601354443
267,Mingguang,78.42,55,86,5.53,32.78,117.96,CN,1601354444
268,Carutapera,77.86,81,0,7.9,-1.2,-46.02,BR,1601354444
269,Umluj,94.89,25,0,10.58,25.02,37.27,SA,1601354444
270,Poronaysk,61.29,55,54,11.16,49.22,143.12,RU,1601354445
271,Wuzhou,81.7,81,99,3.96,23.48,111.32,CN,1601354445
272,Robertsport,76.68,89,100,7.76,6.75,-11.37,LR,1601354446
273,Oranjemund,52.59,65,0,12.66,-28.55,16.43,NA,1601354446
274,Derzhavīnsk,56.59,49,0,6.26,51.1,66.32,KZ,1601354447
275,Bara,71.87,89,87,5.23,10.37,10.73,NG,1601354447
276,Wuwei,67.71,40,23,7.14,37.93,102.64,CN,1601354448
277,Poum,70.03,84,100,25.95,-20.23,164.02,NC,1601354176
278,Cap-aux-Meules,60.8,92,100,21.7,47.38,-61.86,CA,1601354448
279,Slave Lake,55.4,50,1,17.22,55.28,-114.77,CA,1601354448
280,Provincia di Imperia,59.0,77,5,5.82,43.97,7.78,IT,1601354449
281,Damietta,80.6,83,0,11.41,31.42,31.81,EG,1601354449
282,Sanchursk,50.34,68,98,5.88,56.94,47.25,RU,1601354449
283,Moscow,54.0,76,100,4.47,55.75,37.62,RU,1601353788
284,Benguela,69.87,81,53,1.48,-12.58,13.41,AO,1601354450
285,Grindavik,39.2,86,75,12.75,63.84,-22.43,IS,1601354450
286,Avera,71.6,95,90,6.04,33.19,-82.53,US,1601354024
287,Abhā,64.4,27,69,4.72,18.22,42.51,SA,1601354451
288,Djebeniana,69.8,83,0,4.7,35.03,10.91,TN,1601354451
289,Kismayo,79.18,75,99,11.1,-0.36,42.55,SO,1601353923
290,Orshanka,50.29,66,95,5.5,56.92,47.89,RU,1601354452
291,Yangi Marg`ilon,64.4,36,100,4.7,40.43,71.72,UZ,1601354121
292,Kangaatsiaq,32.59,92,100,3.2,68.31,-53.46,GL,1601354196
293,Ayr,42.8,93,20,2.8,55.46,-4.63,GB,1601354453
294,Puerto Ayacucho,75.54,90,90,3.22,5.66,-67.62,VE,1601354453
295,Tūkrah,76.17,85,1,14.32,32.53,20.58,LY,1601354453
296,Bilibino,39.09,71,23,1.43,68.05,166.44,RU,1601354066
297,Mayo,73.0,100,90,9.17,38.89,-76.51,US,1601353976
298,Médéa,53.6,93,20,3.36,36.26,2.75,DZ,1601354454
299,Real,91.0,66,20,9.17,14.66,121.6,PH,1601354455
300,Tigil',49.42,55,100,18.41,57.8,158.67,RU,1601353933
301,East Wenatchee,62.6,51,1,4.7,47.42,-120.29,US,1601354455
302,Saint George,75.2,13,1,18.34,37.1,-113.58,US,1601353937
303,Qui Nhon,88.32,60,100,3.76,13.77,109.23,VN,1601354398
304,Nuevo Ideal,58.62,84,84,4.65,24.89,-105.07,MX,1601354456
305,Caravelas,74.5,83,47,8.08,-17.71,-39.25,BR,1601354092
306,Ayan,49.82,76,100,13.98,56.45,138.17,RU,1601354033
307,Astoria,69.8,64,1,17.22,46.19,-123.83,US,1601354457
308,Uglovoye,69.57,46,100,5.03,44.82,33.6,UA,1601354457
309,Richards Bay,62.22,88,97,3.24,-28.78,32.04,ZA,1601354458
310,Bolgar,37.4,86,61,3.31,54.95,49.07,RU,1601354458
311,Riverton,52.0,49,2,1.34,40.52,-111.94,US,1601354430
312,Ciudad del Carmen,84.47,79,82,8.28,18.63,-91.83,MX,1601354227
313,Darnah,77.0,82,0,14.09,32.77,22.64,LY,1601354459
314,Gemeente Heerenveen,54.0,1,100,4.0,52.95,5.93,NL,1601354459
315,Mahon,60.8,82,3,6.93,39.89,4.27,ES,1601354459
316,Dvinskoy Bereznik,46.02,85,0,5.37,62.86,42.71,RU,1601353925
317,Socorro,66.0,22,1,13.87,31.65,-106.3,US,1601354460
318,Morehead,55.4,87,1,5.82,37.27,-87.18,US,1601354460
319,Juneau,52.0,81,90,11.41,58.3,-134.42,US,1601353859
320,Biak,82.09,74,47,6.73,-0.91,122.88,ID,1601353944
321,Dudinka,30.2,100,90,15.66,69.41,86.18,RU,1601354256
322,Burlington,66.2,93,20,5.82,39.88,-74.64,US,1601354461
323,Spirit River,55.4,50,75,20.8,55.78,-118.84,CA,1601354462
324,Nizhny Tagil,50.49,92,100,2.26,57.92,59.97,RU,1601354462
325,Jenks,55.99,81,1,5.64,36.02,-95.97,US,1601354462
326,Morondava,77.47,52,0,4.34,-20.28,44.28,MG,1601353992
327,Mountain Home,57.2,41,1,4.7,43.13,-115.69,US,1601354463
328,Alyangula,87.8,62,90,9.17,-13.85,136.42,AU,1601354193
329,Sicuani,45.75,70,99,4.65,-14.27,-71.23,PE,1601354463
330,Cam Ranh,91.4,63,75,4.7,11.92,109.16,VN,1601354464
331,Jesús del Monte,57.2,58,40,13.87,19.11,-99.99,MX,1601354464
332,Nampula,68.0,88,8,10.29,-15.12,39.27,MZ,1601354464
333,Mitsamiouli,77.54,73,49,10.98,-11.38,43.28,KM,1601354465
334,Beringovskiy,41.77,76,2,0.76,63.05,179.32,RU,1601353969
335,Touros,71.6,100,20,3.36,-5.2,-35.46,BR,1601354078
336,Serenje,67.89,44,4,2.91,-13.23,30.24,ZM,1601354466
337,Navoiy,59.0,30,95,18.34,40.08,65.38,UZ,1601354467
338,Petropavlovka,55.94,41,1,3.11,50.61,105.32,RU,1601354467
339,Bengkulu,86.32,65,0,15.37,-3.8,102.27,ID,1601353909
340,Langxiang,55.44,55,27,7.78,46.95,128.88,CN,1601354468
341,Shaunavon,57.88,54,85,4.21,49.65,-108.42,CA,1601354468
342,Dawlatabad,55.18,48,100,7.43,36.41,64.91,AF,1601354469
343,Addanki,87.08,68,75,7.76,15.82,79.98,IN,1601354469
344,Mirny,37.4,55,90,17.9,62.54,113.96,RU,1601354470
345,Ancud,48.99,94,100,3.0,-41.87,-73.82,CL,1601354135
346,Aklavik,35.6,100,90,3.36,68.22,-135.01,CA,1601353900
347,Kentau,56.95,34,25,20.89,43.52,68.51,KZ,1601354471
348,Bonthe,76.42,90,100,4.79,7.53,-12.51,SL,1601354471
349,Kokopo,82.56,78,50,6.2,-4.35,152.26,PG,1601354472
350,Rāwah,82.24,17,0,6.02,34.48,41.91,IQ,1601354473
351,Elizabeth City,73.4,88,1,5.82,36.29,-76.25,US,1601354264
352,Severo-Kuril'sk,50.07,88,100,7.02,50.68,156.12,RU,1601353986
353,Łomża,48.87,83,100,9.01,53.18,22.06,PL,1601354474
354,Geraldton,69.8,56,0,12.75,-28.77,114.6,AU,1601353871
355,Manta,71.6,83,75,9.17,-0.95,-80.73,EC,1601354474
356,Sur,90.55,42,0,3.15,22.57,59.53,OM,1601354192
357,Namatanai,82.53,73,72,2.98,-3.67,152.43,PG,1601353911
358,Korla,68.9,23,41,3.89,41.76,86.15,CN,1601354349
359,Sisimiut,29.89,94,95,5.93,66.94,-53.67,GL,1601354475
360,Canberra,64.0,39,40,8.05,-35.28,149.13,AU,1601354411
361,Salinópolis,78.55,80,0,11.88,-0.61,-47.36,BR,1601354104
362,Puerto Madryn,57.54,45,100,2.73,-42.77,-65.04,AR,1601354476
363,Jega,76.84,83,100,10.27,12.22,4.38,NG,1601354477
364,Prince Rupert,53.6,93,90,3.36,54.32,-130.32,CA,1601354141
365,Crestview,73.4,88,1,10.29,30.76,-86.57,US,1601354275
366,Clyde River,28.4,92,90,19.46,70.47,-68.59,CA,1601354099
367,Sijunjung,88.11,51,97,4.99,-0.69,100.95,ID,1601354478
368,Alice Springs,84.2,10,75,23.04,-23.7,133.88,AU,1601354197
369,Yakima,59.0,66,1,4.7,46.47,-120.67,US,1601354439
370,Waipawa,50.0,69,96,11.41,-41.41,175.52,NZ,1601354186
371,Edd,89.02,67,23,6.93,13.93,41.69,ER,1601354479
372,Buraidah,69.8,46,0,11.36,26.33,43.98,SA,1601354479
373,Hīt,84.52,23,0,13.69,33.64,42.83,IQ,1601354480
